"T","Points:0","Points:1","Points:2"
319.94,0.162,-0.12637,0
319.94,0.168,-0.12637,0
319.94,0.174,-0.12637,0
319.93,0.18,-0.12637,0
319.92,0.186,-0.12637,0
319.91,0.192,-0.12637,0
319.9,0.198,-0.12637,0
319.89,0.204,-0.12637,0
319.89,0.21,-0.12637,0
319.94,0.216,-0.12637,0
320.08,0.222,-0.12637,0
320.4,0.228,-0.12637,0
322.59,0.234,-0.12637,0
330.28,0.24,-0.12637,0
340,0.246,-0.12637,0
344.57,0.252,-0.12637,0
344.03,0.258,-0.12637,0
343.14,0.264,-0.12637,0
344.34,0.27,-0.12637,0
344.66,0.276,-0.12637,0
340.85,0.282,-0.12637,0
336.4,0.288,-0.12637,0
334.81,0.294,-0.12637,0
336.84,0.3,-0.12637,0
346.6,0.306,-0.12637,0
355.7,0.312,-0.12637,0
357.59,0.318,-0.12637,0
358.66,0.324,-0.12637,0
359.54,0.33,-0.12637,0
359.03,0.336,-0.12637,0
357.9,0.342,-0.12637,0
356.9,0.348,-0.12637,0
355.66,0.354,-0.12637,0
353.91,0.36,-0.12637,0
352.29,0.366,-0.12637,0
351.51,0.372,-0.12637,0
352.77,0.378,-0.12637,0
353.39,0.384,-0.12637,0
350.58,0.39,-0.12637,0
347.99,0.396,-0.12637,0
347.26,0.402,-0.12637,0
346.88,0.408,-0.12637,0
346.67,0.414,-0.12637,0
346.84,0.42,-0.12637,0
346.15,0.426,-0.12637,0
344.69,0.432,-0.12637,0
342.58,0.438,-0.12637,0
335.68,0.444,-0.12637,0
329.32,0.45,-0.12637,0
328.55,0.456,-0.12637,0
329.06,0.462,-0.12637,0
330.38,0.468,-0.12637,0
331.51,0.474,-0.12637,0
332.09,0.48,-0.12637,0
332.7,0.486,-0.12637,0
332.23,0.492,-0.12637,0
330.42,0.498,-0.12637,0
327.84,0.504,-0.12637,0
325.33,0.51,-0.12637,0
323.31,0.516,-0.12637,0
321.82,0.522,-0.12637,0
320.87,0.528,-0.12637,0
320.38,0.534,-0.12637,0
320.12,0.54,-0.12637,0
319.95,0.546,-0.12637,0
319.97,0.552,-0.12637,0
320.66,0.558,-0.12637,0
321.82,0.564,-0.12637,0
320.08,0.57,-0.12637,0
317.81,0.576,-0.12637,0
319.97,0.006,-0.12343,0
320,0,-0.12343,0
319.98,0.012,-0.12343,0
319.98,0.018,-0.12343,0
319.98,0.024,-0.12343,0
319.98,0.03,-0.12343,0
319.98,0.036,-0.12343,0
319.98,0.042,-0.12343,0
319.98,0.048,-0.12343,0
319.98,0.054,-0.12343,0
319.98,0.06,-0.12343,0
319.98,0.066,-0.12343,0
319.98,0.072,-0.12343,0
319.97,0.078,-0.12343,0
319.97,0.084,-0.12343,0
319.97,0.09,-0.12343,0
319.97,0.096,-0.12343,0
319.96,0.102,-0.12343,0
319.96,0.108,-0.12343,0
319.96,0.114,-0.12343,0
319.95,0.12,-0.12343,0
319.95,0.126,-0.12343,0
319.95,0.132,-0.12343,0
319.95,0.138,-0.12343,0
319.95,0.144,-0.12343,0
319.95,0.15,-0.12343,0
319.95,0.156,-0.12343,0
319.95,0.162,-0.12343,0
319.94,0.168,-0.12343,0
319.94,0.174,-0.12343,0
319.93,0.18,-0.12343,0
319.93,0.186,-0.12343,0
319.91,0.192,-0.12343,0
319.9,0.198,-0.12343,0
319.89,0.204,-0.12343,0
319.89,0.21,-0.12343,0
319.92,0.216,-0.12343,0
320.03,0.222,-0.12343,0
320.42,0.228,-0.12343,0
323.49,0.234,-0.12343,0
332.21,0.24,-0.12343,0
341.3,0.246,-0.12343,0
344.97,0.252,-0.12343,0
344.98,0.258,-0.12343,0
344.38,0.264,-0.12343,0
344.93,0.27,-0.12343,0
344.04,0.276,-0.12343,0
340.3,0.282,-0.12343,0
335.84,0.288,-0.12343,0
332.67,0.294,-0.12343,0
332.93,0.3,-0.12343,0
341.28,0.306,-0.12343,0
352.1,0.312,-0.12343,0
355.87,0.318,-0.12343,0
356.95,0.324,-0.12343,0
358.82,0.33,-0.12343,0
359.29,0.336,-0.12343,0
358.4,0.342,-0.12343,0
357.62,0.348,-0.12343,0
356.66,0.354,-0.12343,0
354.77,0.36,-0.12343,0
352.84,0.366,-0.12343,0
352.18,0.372,-0.12343,0
354.53,0.378,-0.12343,0
355.11,0.384,-0.12343,0
350.92,0.39,-0.12343,0
347.85,0.396,-0.12343,0
347.17,0.402,-0.12343,0
346.61,0.408,-0.12343,0
346.04,0.414,-0.12343,0
346.38,0.42,-0.12343,0
346.47,0.426,-0.12343,0
345.75,0.432,-0.12343,0
343.4,0.438,-0.12343,0
335.67,0.444,-0.12343,0
329.12,0.45,-0.12343,0
329.16,0.456,-0.12343,0
